name,industry,funding_total_usd,status,country,funding_rounds,founded_year
Essential Testing,Biotechnology,2000000,operating,United States,1,2011
"Essess, Inc",Clean Technology,16750000,operating,United States,2,2011
Essia Health,Biotechnology,6550000,operating,United States,2,2010
eStartAcademy.com,Digital Media,20000,operating,United States,1,2014
Estate Assist,Consumers,2300000,operating,United States,1,2014
Estately,Real Estate,1250000,operating,United States,2,2006
Estify,Automotive,2300000,operating,United States,2,2012
Estimize,Crowdsourcing,2575000,operating,United States,3,2011
"Estimote, Inc.",Indoor Positioning,6500000,operating,United States,6,2012
Estorian,Analytics,4500000,operating,United States,1,2003
Estrela Digital,Advertising,1000000,operating,Brazil,1,2012
Estrogen Gene Test,Medical,0,operating,United States,1,2013
Etable,Social Media,100000,operating,India,1,2012
Etalia,Information Technology,3555740,operating,Switzerland,2,2011
Etaoshi,Hospitality,30000000,operating,China,2,2011
Etaphase,Hardware + Software,50000,operating,United States,1,2012
eTask.it,Software,2700000,operating,United Kingdom,3,2007
etaskr,Enterprise Software,20000,operating,Australia,1,2013
ETC Education,Education,1300000,operating,United Kingdom,2,2012
Etece,Curated Web,1227720,operating,Spain,2,2012
eTech Money,Software,90000,closed,United States,1,2010
eTect,Health Care,0,operating,United States,2,2009
Eterniam,Internet,100000,operating,United States,1,2013
EternoGen,Biotechnology,2485427,operating,United States,3,2009
EternoGen Aesthetics,Healthcare Services,2000000,operating,United States,1,2014
ETF Securities,Security,0,operating,United Kingdom,1,2003
"Ether Optronics (Suzhou) Co., Ltd.",Manufacturing,2000000,operating,China,4,2004
etherFAX,Telecommunications,0,operating,United States,1,2009
Etherstack,Unknown,0,operating,United Kingdom,1,2012
Ethical Deal,Unknown,0,operating,Canada,1,2010
Ethical Electric,Renewable Energies,13400000,operating,United States,2,2011
Ethics Resource Group,Education,0,operating,United States,1,2006
EthicsGame,Games,200000,operating,United States,1,2005
ethology,Media,0,operating,United States,1,2010
Ethonova,Nonprofits,40000,operating,United States,1,2012
eThor.com,Restaurants,2288898,operating,United States,4,2010
EthosGen,Clean Technology,115000,operating,United States,1,2006
eTipping,Software,0,operating,United States,1,2012
Etive Technologies,Software,405002,operating,United Kingdom,1,2011
eTobb,Health Care,226500,operating,Lebanon,2,2012
Etogas,Clean Technology,7500000,operating,Germany,1,2007
Etohum,Investment Management,0,operating,Türkiye,1,2008
Etology.com,Advertising,4000000,operating,United States,1,2014
Etonkids,Education,0,operating,China,1,2008
eToro,Finance,33900000,operating,Cyprus,5,2007
etouches,Software,21999998,operating,United States,4,2008
Etransmedia Technology,Software,8300000,operating,United States,1,2000
Etreasurebox,Retail,0,operating,United States,1,2014
eTruck,Transportation,0,operating,United States,1,2012
Etsy,Peer-to-Peer,97256127,operating,United States,8,2005
eTukTuk,Mobility,329850,operating,Germany,1,2010
Eucalyptus Systems,Enterprise Software,55500000,acquired,United States,3,2009
Euclid Media,Curated Web,0,operating,United States,1,2007
Euclises Pharmaceuticals,Biotechnology,1774998,operating,United States,3,2011
Eunice Ventures,Social Media Management,5000,operating,United Kingdom,1,2013
Eupraxia Pharmaceuticals,Biotechnology,376848,operating,Canada,1,2012
Eureka,Hardware,15000,operating,United States,1,2013
Eureka Therapeutics,Biotechnology,21000000,operating,United States,1,2006
Eurekster,Social Media,6850000,closed,United States,2,2004
Euro Card Spain,Discounts,0,operating,Spain,1,2013
Euro Dream Heat,Manufacturing,400000,operating,Canada,1,2010
Euro Freelancers,Freelancers,33011,operating,Belgium,1,2010
Eurocept,Health and Wellness,0,operating,Netherlands,1,2001
EuroMillions.co Ltd.,Games,229564,operating,United Kingdom,1,2013
Eurus Energy Holdings,Clean Technology,266400000,operating,Japan,1,2001
EUSA Pharma,Biotechnology,54200000,acquired,United Kingdom,4,2006
Euthymics Bioscience,Biotechnology,38500543,operating,United States,3,2009
ev-social,Social Media Management,40000,operating,Chile,1,2011
"ev3, Inc",Biotechnology,34650000,operating,United States,1,2000
EVALS.NET,Technical Continuing Education,870000,operating,United States,2,2013
EvaluAgent,SaaS,383037,operating,United Kingdom,2,2012
Evaneos,Curated Web,7000000,operating,France,2,2009
Evaporcool,Manufacturing,450000,operating,United States,2,2008
Evargrah Entertainment Group,Games,0,operating,United States,1,2013
eVariant,Hospitals,27700000,operating,United States,4,2008
Evcarco,Automotive,245250,operating,United States,1,2008
Eved,Curated Web,11201619,operating,United States,2,2010
Evena Medical,Hardware + Software,500000,operating,United States,1,2010
eVendor Check,Enterprise Software,35000,operating,United States,1,2008
Event Farm,Event Management,1025000,operating,United States,2,2011
Event Industry News,Events,81070,operating,United Kingdom,1,2010
Event Innovation,Networking,0,closed,United States,1,2007
Eventable,Advertising,28000,operating,United States,1,2012
Eventbase,Mobile,2000000,operating,Canada,1,2009
eventblimp,Events,0,operating,United States,2,2012
EventBoard,Business Analytics,1500000,operating,United States,1,2012
Eventbrite,Events,199550000,operating,United States,9,2006
EventBrowsr.com,Unknown,250000,operating,United States,1,2012
EventCombo,Ticketing,150000,operating,Trinidad and Tobago,1,2013
Eventdoo,Events,50842,operating,Argentina,1,2012
Eventfinda,Event Management,0,operating,New Zealand,4,2005
Eventful,Local,19600000,acquired,United States,3,2004
Eventials,Curated Web,90000,operating,Brazil,2,2010
Eventifier,Curated Web,500000,operating,India,1,2012
Eventioz,Software,1500000,acquired,Argentina,2,2008
Evento,Unknown,0,operating,Morocco,1,2010
Evento Social Promotion,Facebook Applications,750000,operating,Israel,1,2010
Eventpig,Social Media,70000,operating,United Kingdom,1,2012
EventRegist,Events,1600000,operating,Japan,2,2011
Events Core,Finance,50000,operating,Singapore,1,2008
EventSneaker,Internet Marketing,15230,acquired,United Kingdom,1,2013
EventSorbet,Restaurants,175000,operating,United States,1,2011
Eventstagr.am,Photo Sharing,303980,operating,United Kingdom,2,2012
EventTool,Advertising,26000,operating,Germany,1,2014
Eventtus,Guides,175000,operating,Egypt,1,2011
eventuosity,Events,200000,operating,United States,1,2013
Eventup,Internet Marketing,1800000,operating,United States,1,2011
Eventus Diagnostics,Biotechnology,2720000,operating,United States,1,2010
EventVue,Curated Web,455000,closed,United States,2,2007
EventWith,Mobile,400000,operating,Israel,1,2012
Eventyard,Events,161251,operating,Bulgaria,4,2012
Evera Medical,Health Care,319943,operating,United States,1,2004
everbill,Software,50000,operating,United States,1,2012
Everbridge,Software,9025000,operating,United States,4,2002
Evercam,Developer Tools,654553,operating,Ireland,1,2013
EverCharge,Clean Technology,500000,operating,United States,3,2007
EverConnect,Messaging,200000,closed,Japan,1,2010
Everest,Mobile,2200000,operating,United States,3,2012
EVERFANS,File Sharing,50000,closed,Singapore,1,2012
Everfi,Internet,21000000,operating,United States,2,2008
Evergage,Analytics,6250000,operating,United States,3,2010
Evergig,Curated Web,1350000,operating,France,1,2012
Evergram,Digital Media,2432000,operating,United States,1,2011
"eVeritas, Inc.",Health Care,150000,operating,United States,1,2009
Everlane,Fashion,1100000,operating,United States,1,2010
Everlasting Footprint,Social Media,453500,operating,United States,3,2012
Everlasting Values Organized Through Love,Education,0,operating,United States,1,2010
Everlater,Travel,750000,acquired,United States,3,2008
Everloop,Social Media,3100000,operating,United States,1,2011
Evermede,Digital Media,150000,operating,Austria,2,2014
Evermind,Health Care,5115000,operating,United States,5,2012
Evernote,Software,290000000,operating,United States,10,2007
Everpay,Finance,0,operating,Canada,1,2012
Everpix,Photography,2425000,operating,United States,3,2011
Everplaces,Curated Web,530098,operating,Denmark,2,2011
Everplans,Business Information Systems,2100000,operating,United States,1,2012
EverPresent,Photo Sharing,1199936,operating,United States,2,2012
Everpurse,Internet of Things,1025000,operating,United States,2,2012
Eversight,Innovation Management,9700000,operating,United States,1,2013
EverSpin Technologies,Manufacturing,48786221,operating,United States,5,2003
EverSport Media,Sports,0,operating,United States,1,2013
Everspring,Education,16000000,operating,United States,1,2011
Everstring,Consumers,12000000,operating,United States,2,2012
Evertale,Photography,0,closed,Denmark,1,2011
EverTrue,SaaS,14568000,operating,United States,4,2010
Everwise,Human Resources,3450000,operating,United States,2,2012
Every1Mobile,Mobile,1700000,operating,South Africa,1,2010
EverybodyCar,Social Media,192645,operating,Spain,1,2011
Everyclick,Search,738000,operating,United Kingdom,1,2005
Everyday Health,Business Services,84728588,operating,United States,7,2002
Everyday Solutions,Mobile,2809010,operating,United States,1,2000
EveryMove,Corporate Wellness,6118000,operating,United States,5,2011
Everypoint,Mobile,14000000,operating,United States,2,2002
Everypost,Mobile,1175000,operating,United States,3,2012
EveryScape,Curated Web,17500000,operating,United States,3,2002
Everything But The House (EBTH),E-Commerce,13000000,operating,United States,3,2006
EverythingMe,Web Development,35500000,operating,Israel,3,2010
eVestment,Analytics,19000000,operating,United States,1,2000
Evestra,Biotechnology,1800000,operating,United States,1,2007
Evi,Mobile,5190128,acquired,United Kingdom,2,2005
evidanza,Software,5165160,operating,Germany,1,2001
Evident Health,Biotechnology,100000,operating,United States,1,2012
Evident.io,Cloud Security,11400000,operating,United States,2,2013
Evil City Blues,Wine And Spirits,0,operating,United States,1,2013
Evim.net,E-Commerce,5000000,operating,Türkiye,1,2010
Evinance Innovation,Unknown,19615,operating,Canada,1,2012
Evirx,Training,150000,operating,United States,2,2008
Evision Systems,Unknown,350000,closed,Israel,1,2010
Evisors,Advice,2550000,operating,United States,4,2010
EVO Media Group,Publishing,1500000,operating,United States,3,2007
EvoApp,Customer Service,3352194,closed,United States,3,2009
Evocalize,Consulting,3000000,operating,United States,1,2012
evocatal,Biotechnology,7018900,operating,Germany,3,2006
Evocha,Fashion,45697,operating,United Kingdom,1,2013
Evogen,Security,4893742,operating,United States,3,2001
Evoke Pharma,Health Care,10500001,operating,United States,2,2007
Evoleen,Health and Wellness,700000,operating,United States,2,2013
Evolent Health,Health and Wellness,101279000,operating,United States,1,2011
Evolita,Analytics,550000,operating,Israel,1,2011
evolso,Networking,13751,operating,United Kingdom,1,2012
Evolution Robotics,Software,13880000,acquired,United States,1,2001
Evolutionary Genomics,Biotechnology,0,operating,United States,1,2000
Evolv,Career Management,42497374,acquired,United States,4,2007
Evolva,Biotechnology,43500000,operating,Switzerland,2,2004
Evolven Software,Software,0,operating,United States,1,2007
Evolver,Games,800000,acquired,United States,1,2004
Evomail,Email,100000,operating,United States,1,2012
Evostor,Software,8000000,acquired,United States,2,2007
Evostream,Unknown,500000,operating,United States,1,2010
eVoter,Politics,599997,closed,United States,2,2009
EvoTronix,Social Commerce,50000,operating,United States,1,2011
Evoz,Hardware + Software,150000,operating,United States,3,2010
Evozym Biologics,Biotechnology,600000,operating,United States,1,2009
EVRGR,Mobile Payments,50000,operating,Germany,1,2013
Evri,News,11849203,operating,United States,3,2007
eVropa,Social Network Media,200000,operating,Greece,1,2011
EVRST,Software,199992,operating,United States,1,2012
EVRYTHNG,Big Data,7000000,operating,United Kingdom,2,2011
Evryx Technologies,Mobile,1526426,operating,United States,1,2001
Evtron,Manufacturing,1400000,operating,United States,2,2012
evvnt,SaaS,0,operating,United Kingdom,1,2012
eWave Interactive,Software,833000,operating,Germany,1,2006
eWellness Corporation,Medical,183000,operating,United States,1,2013
eWings.com,Travel,0,operating,Germany,1,2013
Ewireless,Wireless,40500000,operating,United States,3,2003
Ewirelessgear,Unknown,0,operating,United States,1,2010
"Ex24, Corp.",Finance,0,operating,United States,1,2013
Exabeam,Information Technology,10000000,operating,United States,1,2013
Exablox,Hardware + Software,29474999,operating,United States,2,2010
Exabre,Reviews and Recommendations,13460000,closed,United Kingdom,2,2005
Exacaster,SaaS,530000,operating,Lithuania,2,2011
Exacter,Real Estate,0,operating,United States,1,2006
ExactTarget,Marketing Automation,188210000,acquired,United States,5,2000
ExaDigm,Point of Sale,12000000,operating,United States,1,2000
Exagen Diagnostics,Biotechnology,77626321,operating,United States,13,2002
Exaget,Personalization,527571,operating,Finland,1,2012
ExaGrid Systems,Enterprise Software,77717024,operating,United States,6,2002
Exajoule,Technology,2500000,operating,United States,2,2002
Exakis,Software,4400000,operating,France,1,2001
Exalead,Search,15600000,acquired,France,1,2000
Exalt Communications,Mobile,16801250,operating,United States,2,2004
Exam18,Marketplaces,81208,operating,India,1,2013
Examify,Big Data,80000,operating,India,1,2012
Exanet,Storage,18000000,acquired,Israel,1,2000
Exaprotect,Security,7660000,acquired,United States,1,2004
Exaptive,Analytics,80000,operating,United States,1,2011
ExaqtWorld,Unknown,3562380,operating,France,1,2006
Exavio,Games,10000000,operating,United States,2,2002
Excalibur Real Estate Solutions,Real Estate,0,operating,United States,1,2014
Excel Business Intelligence,Startups,1000,operating,United States,1,2012
Excel Energy,Software,2200000,acquired,United States,1,2000
Excel PharmaStudies,Hospitality,1000000,acquired,China,1,2000
Excelera,Technology,51295,operating,Spain,1,2010
ExceleraRx,Biotechnology,300000,operating,United States,1,2011
Excellence Engineering,Unknown,0,operating,United States,1,2001
Excellence4u,Consulting,10000000,operating,India,1,2011
Excelsior Industries,Real Estate,0,operating,United States,1,2009
Exchange Corporation,Financial Services,4496166,operating,Japan,4,2008
Exchange Group,Education,0,closed,United Kingdom,1,2003
Exclusively.in,Fashion,18800000,acquired,United States,2,2010
Excorda,Mobile,3900000,operating,United States,1,2012
ExecNote,Enterprises,250000,operating,Canada,1,2013
ExecOnline,Education,6926100,operating,United States,4,2012
Execution Labs,Incubators,6700000,operating,Canada,2,2012
Executive Employers,Advertising,6500000,operating,United States,1,2013
Executive Intermediary,Venture Capital,1000,closed,United States,1,2007
Executive Trading Solutions,Software,621410,operating,United States,2,2008
Exegy,Hardware + Software,16787546,operating,United States,3,2003
eXelate,Big Data Analytics,32000000,operating,United States,3,2007
Exelis,Software,2000000,operating,United States,1,2011
Exelonix,Home Automation,0,operating,Germany,1,2013
eXenSa,Data Mining,189154,operating,France,1,2011
Exeo Entertainment,Games,1800000,operating,United States,2,2011
Exercise the World,Media,0,operating,United States,1,2013
Exercise.com,Video Streaming,1742379,operating,United States,1,2010
Exergyn,Clean Technology,128660,operating,Ireland,1,2012
Exeros,Analytics,12000000,acquired,United States,1,2002
Exerscrip,Biotechnology,50000,operating,United States,1,2010
Exeter Property Group,Real Estate,33000000,operating,United States,1,2006
Exhale Fans,Home Decor,0,operating,United States,1,2011
Exhibition A,E-Commerce,0,operating,United States,1,2010
Exiles,Sports,665000,operating,United States,2,2011
Eximia,Software,271472,operating,Italy,1,2003
Exinda,Software,19000000,operating,United States,3,2002
Existence Before Essence,Consulting,5000,operating,United Kingdom,1,2012
Exit Games,Games,4610000,operating,Germany,2,2003
eXIthera Pharmaceuticals,Pharmaceuticals,6000000,operating,United States,1,2012
Exitround,Curated Web,0,operating,United States,1,2013
eXludus Technologies,Software,1500000,operating,Canada,1,2003
Exmovere,Biotechnology,1339831,operating,United States,3,2006
eXo,Networking,7242588,operating,United States,3,2003
Exo Labs,Hardware + Software,2982410,operating,United States,3,2011
EXO5,Security,450000,operating,United States,1,2006
Exodos Life Science Partners,Biotechnology,2448799,operating,United States,3,2009
Exodus Payment Systems,Software,987083,operating,United States,2,2009
Exoprise,Cloud Management,4625089,operating,United States,2,2009
Exos,Biotechnology,1125000,acquired,United States,2,2007
Exosect,Biotechnology,19732526,operating,United Kingdom,7,2001
Exosite,Internet of Things,725375,operating,United States,3,2009
Exosome Diagnostics,Biotechnology,47000000,operating,United States,2,2008
Exostat Medical,Health Care,2430200,operating,United States,2,2008
ExoYou,Medical,0,operating,United States,1,2014
Expa,Curated Web,50000000,operating,United States,1,2013
Expan,Unknown,1200000,operating,United States,2,2010
Expand Beyond,Software,16560000,operating,United States,3,2000
Expanite,Unknown,0,operating,Denmark,2,2010
Expect Labs,Speech Recognition,2400000,operating,United States,3,2011
Expensify,Finance Technology,10200000,operating,United States,3,2008
Experenti,Augmented Reality,700000,operating,United States,1,2014
Experience Headphones,Entertainment,85000,operating,Canada,3,2013
Experifun,Education,335000,operating,India,2,2012
Experiment,Technology,1230000,operating,United States,2,2012
Experiment Engine,Internet,1000000,operating,United States,1,2014
Expert,Automotive,221250,operating,United States,1,2000
Expert Dynamics,Software,450000,acquired,Israel,1,2003
Expert Medical Navigation,Health Care,0,operating,United States,1,2009
Expert Planet,Customer Service,750000,operating,United States,2,2008
Expert TA,Education,400000,operating,United States,1,2009
ExpertBids.com,Professional Services,20000,operating,United States,1,2010
Expertcloud.de,Virtual Worlds,0,operating,Germany,1,2010
ExpertFile,Software,2975000,operating,Canada,4,2012
ExpertFlyer,Travel,30000,operating,United States,1,2004
Experticity,Training,16000001,operating,United States,1,2005
Experts 911,IT Management,162000,operating,Jordan,2,2011
"Expii, Inc.",Crowdsourcing,1310000,operating,United States,1,2014
Explara,Ticketing,0,operating,India,2,2008
Exploco,Adventure Travel,0,operating,Australia,1,2014
Explore Engage,Retail,200000,operating,Australia,1,2010
Explore.To Yellow Pages,Location Based Services,50000,closed,United States,1,2010
Explorer.io,Mobile,0,operating,United States,1,2011
Exploretrip,Travel,432500,operating,United States,1,2008
Explorra,Social Network Media,250000,operating,United States,1,2009
Explorys,Health Care,14050000,operating,United States,2,2009
EXPO,Curated Web,6000000,operating,United States,2,2004
EXPO Communications,Curated Web,650000,operating,United States,2,2004
Exponential Entertainment,Consumer Internet,1464200,operating,United States,1,2007
ExpoPromoter,Events,1000000,operating,United Kingdom,1,2007
Exposed Vocals,Social Media,250000,operating,United States,1,2011
Expreem,iPhone,100000,operating,Hong Kong,1,2010
Express Fit,Consulting,0,operating,United States,1,2013
Express Oil Group,Unknown,37400612,operating,United States,1,2010
expressor software,Data Integration,29050000,acquired,United States,4,2007
ExRo Technologies,Clean Technology,300000,operating,Canada,1,2006
ExSafe,Security,1200000,operating,Ireland,1,2006
Extend Labs,Biotechnology,3125000,operating,United States,2,2012
Extenda-Dent,Online Shopping,0,operating,United States,1,2012
ExtendCredit.com,Software,863400,operating,United States,1,2009
ExtendEvent,Events,0,operating,United States,1,2012
ExteNet Systems,Wireless,155900000,operating,United States,2,2003
Extension Entertainment,Music,2750000,operating,United States,3,2010
Externautics,Biotechnology,3890000,operating,Italy,1,2007
Extole,Internet Marketing,5000000,operating,United States,1,2010
ExTractApps,Software,167500,closed,United States,1,2009
ExtraFootie,Social Media,411150,operating,Belgium,1,2007
ExtraHop Networks,Information Technology,60100000,operating,United States,3,2007
ExtraOrtho,Biotechnology,3620185,operating,United States,1,2007
Extreme DA,Software,7380000,acquired,United States,1,2003
Extreme Enterprises,Enterprise Software,1455000,closed,United States,8,2007
Extreme Plastics Plus,Clean Technology,0,operating,United States,1,2007
Extreme Reach,Advertising,148100029,operating,United States,8,2007
Extreme Reach (formerly BrandAds),Brand Marketing,180000,acquired,United States,1,2011
Extreme Reality,3D,18000000,operating,Israel,2,2005
Extreme Startups,Automotive,8800000,operating,Canada,2,2012
Extreme Wireless Communication,Networking,0,operating,United States,1,2012
ExtremeOcean Innovation,Transportation,0,operating,Canada,1,2010
ExtremeScapes of Central Texas,Consumers,15500,operating,United States,1,2013
exurbe cosmetics,E-Commerce,200000,operating,Switzerland,1,2013
Exuru!,E-Commerce,150000,closed,United Kingdom,1,2011
"EXUSMED, Inc.",Health and Wellness,146000,operating,United States,1,2013
eYantra Industries,Software,7500000,operating,India,1,2001
Eye Phone,Software,0,operating,United States,1,2014
Eye-Fi,Cloud Computing,36500000,operating,United States,4,2005
Eye-Pharma,Biotechnology,145500,operating,United States,1,2013
Eye-Q,Health and Wellness,4500000,operating,India,1,2007
Eyebrid Blaze,Unknown,0,operating,United Kingdom,1,2006
EyeEm,Apps,6000000,operating,Germany,2,2011
eyefactive,Unknown,0,operating,Germany,1,2009
Eyegroove,Mobile,1350000,operating,United States,2,2013
EyeJot,Messaging,1150000,operating,United States,2,2007
eYeka,Social Media,9340000,operating,France,6,2006
Eyelation,Software,1300000,operating,United States,1,2009
EyeLock,Privacy,3000000,operating,United States,1,2006
Eyenalyze,Finance,186000,operating,United States,1,2009
EyeNetra,Biotechnology,7000000,operating,United States,3,2011
Eyeona,Curated Web,2000000,closed,United States,1,2011
Eyeonplay,Curated Web,19791,operating,Italy,1,2013
eyeOS,WebOS,1445300,acquired,Spain,1,2005
Eyeota,Analytics,0,operating,Germany,1,2012
eyeQ,Retail Technology,0,operating,United States,1,2012
EyeQuant,User Experience Design,643300,operating,Germany,1,2009
"Eyes On Freight, LLC",Business Services,65000,operating,United States,1,2012
EyesBot,Software,40000,operating,United States,1,2013
EyeScience,Health and Wellness,1150080,operating,United States,3,2007
EyeScribes,Hospitals,100000,operating,United States,1,2014
eyesFinder,Software,520000,operating,United States,1,2013
eyeSight Mobile Technologies,Software,10900000,operating,Israel,2,2005
EyeSpot,Software,3700000,acquired,United States,1,2005
Eyesquad,Unknown,0,acquired,Israel,1,2005
eyetok,Search,50000,operating,Spain,1,2013
EyeVerify,Security,10424729,operating,United States,4,2012
Eyeview,Online Video Advertising,35350000,operating,United States,5,2007
EZ LIFT Rescue Systems,Hardware + Software,316539,operating,United States,1,2011
EZ-Apps,Mobile,650000,operating,United States,1,2004
EZ-Ticket,Games,0,operating,United States,1,2008
EZ4U,Software,40000,operating,Portugal,1,2010
Ezakus,Big Data,8576699,operating,United States,2,2011
EZBOB,Finance Technology,9746991,operating,United Kingdom,3,2011
ezCater,Restaurants,6790000,operating,United States,3,2007
EZDOCTOR,Medical,2500000,operating,United States,1,2013
Ezeecube,Contact Management,100000,operating,Hong Kong,1,2013
Ezetap,Mobile,11500000,operating,India,3,2011
EzFlop - A First of Its Kind Flip Flop,Fashion,0,operating,United States,1,2014
eziCONEX,Web Development,500000,operating,United Kingdom,1,2012
EzLike,Advertising,100000,operating,Brazil,1,2012
EZMove,E-Commerce,165000,operating,India,1,2013
ezNetPay,Software,1000000,operating,United States,1,2005
Ezoic,Monetization,5600000,operating,United States,1,2010
eZono,Health Care,10000000,operating,Germany,1,2004
Ezose Sciences,Manufacturing,0,operating,United States,1,2009
Ezra Innovations,Biotechnology,6280600,operating,United States,2,2008
ezTaxi,Mobile,0,operating,Italy,1,2013
Ezuza,E-Commerce,1202605,operating,United States,3,2007
EzyInsights,Social Media,780511,operating,Finland,1,2012
e|tab,Software,765000,operating,United States,1,2001
豆浆油条,Mobile,10000,operating,China,1,2012
F-Origin,Software,13185060,operating,United States,6,2005
f-star Biotech,Pharmaceuticals,57271500,acquired,Austria,6,2006
F.8 Interactive,Games,150000,operating,United States,1,2007
F3 Foods,E-Commerce,50000,operating,United States,1,2012
f4samurai,Games,99310,operating,Japan,2,2010
Fab,Design,336325000,operating,United States,11,2011
Fab'entech,Unknown,3012071,operating,France,1,2009
FabAlley,E-Commerce,0,operating,India,1,2012
Fabkids,E-Commerce,2600000,acquired,United States,1,2012
Fablic,Social Buying,9150000,operating,Japan,1,2012
Fablistic,Social Search,0,closed,United States,1,2009
Fabric Engine,Browser Extensions,0,operating,Canada,1,2010
Fabric7 Systems,Web Hosting,18400000,operating,United States,1,2002
Fabricly,E-Commerce,400000,operating,United States,1,2010
fabrik,Flash Storage,51300000,acquired,United States,4,2005
FabriQate,Internet,20000,operating,United Kingdom,2,2008
fabrooms,Home & Garden,100000,operating,Germany,1,2013
FabTask,Collaborative Consumption,99627,operating,Denmark,1,2014
Fabule,Hardware + Software,175000,operating,Canada,2,2013
FabZat,Games,600000,operating,France,1,2013
Face to Face Live,Mobile,250000,operating,United States,1,2006
Face++,Face Recognition,22000000,operating,China,2,2011
Face.com,Photography,5300000,acquired,Israel,3,2005
Facebook,Communities,2425700000,operating,United States,11,2004
FaceFirst (Airborne Biometrics),Software,2136552,operating,United States,3,2007
FaceOn Mobile,Mobile,102400,operating,United States,1,2011
Facio,Big Data,300000,operating,United States,2,2011
Factabase,Big Data Analytics,500000,operating,United Arab Emirates,1,2008
Factery,Curated Web,1200000,closed,United States,1,2009
Faction Skis,Manufacturing,3000000,operating,Switzerland,4,2006
Factonomy,Software,2072000,operating,United Kingdom,2,2003
Factor 14,Health Care,0,operating,United States,1,2013
Factor.io,Software,145000,operating,United States,1,2012
Factorli,Manufacturing,10000000,operating,United States,1,2014
Factory Media Limited,Video,6821772,acquired,United Kingdom,1,2006
Factual,Databases,27000000,operating,United States,3,2007
Factyle,Mobile,0,operating,Canada,1,2011
Faculte,Education,2998932,operating,United States,1,2007
FAGUO,Mobile,1920000,operating,France,1,2008
Fair Observer,Analytics,60000,operating,United States,1,2011
Fairphone,Hardware + Software,11031857,operating,Netherlands,2,2010
FairSoftware,Curated Web,100000,operating,United States,1,2007
FaithStreet,Finance,1100000,operating,United States,1,2010
Falafel Games,Games,680000,operating,Hong Kong,1,2010
Falco Pacific Resource Group,Real Estate,5100000,operating,Canada,1,2012
"Falcon Expenses, Inc.",Accounting,0,operating,United States,1,2013
Falcon Social,Enterprises,7719600,operating,Denmark,1,2010
Falcor Equine Enterprises,Unknown,0,operating,United States,1,2012
FameBit,Marketplaces,1500000,operating,United States,2,2013
FameCast,Games,9700000,closed,United States,3,2007
Famely,Media,19252,operating,Czechia,1,2014
Famigo,Mobile,2020000,operating,United States,3,2010
Familiar,Photography,1300000,acquired,United States,2,2011
Familink,Unknown,48987,operating,United States,1,2012
Familio,Photo Sharing,0,operating,Israel,1,2012
Familonet,Internet,0,operating,Germany,1,2012
Family Archival Solutions,Financial Services,150000,operating,United States,2,2013
Family Help & Wellness,Health and Wellness,0,operating,United States,1,2008
Family Housing Investments,Real Estate,40000,operating,United States,1,2009
Family Nation,Hospitality,64330,operating,Italy,1,2011
FamilyFinds,Curated Web,5750000,closed,United States,1,2010
FamilyLeaf,Social Media,984000,acquired,United States,2,2012
FamilyLink,Social Media,3650000,operating,United States,2,2006
FamilySkyline,News,0,operating,United States,1,2010
Familytic,Social Media,12000,operating,Germany,1,2011
Famo.us,Mobile,30210000,operating,United States,4,2011
Fan TV,Consumer Electronics,8393798,acquired,United States,1,2010
Fanaticall,Consulting,0,operating,United States,1,2010
fanatix,Messaging,3500000,operating,United Kingdom,4,2011
Fanattac,Music,1000000,operating,United States,1,2011
Fanbase,Curated Web,5000000,operating,United States,1,2009
fanbook Inc.,Facebook Applications,106778,operating,Japan,1,2011
FanBoom,Curated Web,10000,closed,United States,1,2007
Fanbouts,News,0,closed,United States,1,2012
FanBread,Social Media,800000,operating,United States,1,2014
FanBridge,Television,2350000,operating,United States,2,2006
FanChatter,Software,20000,operating,United States,1,2007
Fanchimp,E-Commerce,91247,operating,Chile,2,2012
Fancloud,Sports,217000,operating,United States,2,2011
Fancorps,Social Media,100000,operating,United States,1,2005
Fancred,Social Media,5118000,operating,United States,4,2012
FANCRU,Mobile,0,operating,United States,1,2011
Fancy,Online Shopping,104400000,operating,United States,6,2009
FANCY CELLAR - 品庄酒业,Hospitality,150000,operating,China,1,2013
Fancy Hands,Virtual Workforces,0,operating,United States,1,2010
FancyBox,Digital Media,2192936,operating,Chile,3,2012
Fandeavor,Ticketing,525000,operating,United States,1,2011
FanDistro,Music Services,700000,operating,United States,1,2011
FanDuel,Fantasy Sports,86200000,operating,United States,6,2009
FanFound,Music,500000,closed,United States,1,2011
FanFueled,Incentives,1100000,operating,United States,3,2010
FanGager (MyBrandz),Curated Web,400000,operating,United States,1,2009
Fangdd,Real Estate,80000000,operating,China,1,2011
Fangtek,Manufacturing,26000000,operating,United States,4,2003
Fanhuan.com,Web Development,1000000,operating,China,1,2008
Fanitics,Games,25000,closed,United States,1,2010
FanKave,Sports,954964,operating,United States,1,2013
FanLib,Unknown,3000000,acquired,United States,1,2006
Fanminder,Social Media Marketing,1000000,operating,United States,1,2008
Fanmode,Services,2400000,operating,Ireland,1,2012
Fannabee,Collectibles,87000,operating,Italy,3,2013
Fanplayr,Ad Targeting,2500000,operating,United States,2,2013
Fanshout,Video Streaming,45000,operating,United States,1,2013
FanSnap,Sports,15700000,closed,United States,3,2007
FansUnite,Sports,241935,operating,Canada,1,2012
